latitude,longitude,sst_c,clim_sst,anomaly_c
51.2700,-5.9900,19.4000,16.8500,2.5500
51.2700,-5.9700,19.4100,16.8820,2.5280
51.2700,-5.9500,19.4300,16.9180,2.5120
51.2700,-5.9300,19.4300,16.9300,2.5000
51.2700,-5.9100,19.4500,16.9300,2.5200
51.2700,-5.8900,19.4500,16.9520,2.4980
51.2700,-5.8700,19.4500,16.9860,2.4640
51.2700,-5.8500,19.4700,17.0260,2.4440
51.2700,-5.8300,19.4700,17.0720,2.3980
51.2700,-5.8100,19.4900,17.0980,2.3920
51.2700,-5.7900,19.5000,17.1200,2.3800
51.2700,-5.7700,19.4900,17.1480,2.3420
51.2700,-5.7500,19.5000,17.1660,2.3340
51.2700,-5.7300,19.4900,17.1940,2.2960
51.2700,-5.7100,19.4700,17.2180,2.2520
51.2700,-5.6900,19.4800,17.2340,2.2460
51.2700,-5.6700,19.4700,17.2400,2.2300
51.2700,-5.6500,19.4800,17.2400,2.2400
51.2700,-5.6300,19.4700,17.2480,2.2220
51.2700,-5.6100,19.4900,17.2460,2.2440
51.2700,-5.5900,19.5000,17.2460,2.2540
51.2700,-5.5700,19.5000,17.2540,2.2460
51.2700,-5.5500,19.5200,17.2640,2.2560
51.2700,-5.5300,19.5300,17.2800,2.2500
51.2700,-5.5100,19.5000,17.2980,2.2020
51.2700,-5.4900,19.4500,17.3080,2.1420
51.2700,-5.4700,19.4100,17.3140,2.0960
