date,sst_c
2019-05-03 00:00:00+00:00,9.6944
2019-05-04 00:00:00+00:00,9.6961
2019-05-05 00:00:00+00:00,9.8246
2019-05-06 00:00:00+00:00,9.7888
2019-05-07 00:00:00+00:00,9.7855
2019-05-08 00:00:00+00:00,9.7677
2019-05-09 00:00:00+00:00,9.7549
2019-05-10 00:00:00+00:00,9.8731
2019-05-11 00:00:00+00:00,9.9661
2019-05-12 00:00:00+00:00,10.2024
2019-05-13 00:00:00+00:00,10.2259
2019-05-14 00:00:00+00:00,10.3922
2019-05-15 00:00:00+00:00,10.5245
2019-05-16 00:00:00+00:00,10.5803
2019-05-17 00:00:00+00:00,10.5612
2019-05-18 00:00:00+00:00,10.5987
2019-05-19 00:00:00+00:00,10.6502
2019-05-20 00:00:00+00:00,10.8588
2019-05-21 00:00:00+00:00,11.0070
2019-05-22 00:00:00+00:00,10.9821
2019-05-23 00:00:00+00:00,10.9216
2019-05-24 00:00:00+00:00,10.9735
2019-05-25 00:00:00+00:00,11.1945
2019-05-26 00:00:00+00:00,11.2214
2019-05-27 00:00:00+00:00,11.5909
2019-05-28 00:00:00+00:00,11.3512
2019-05-29 00:00:00+00:00,11.3258
2019-05-30 00:00:00+00:00,11.3324
2019-05-31 00:00:00+00:00,11.3323
2019-06-01 00:00:00+00:00,11.4614
2019-06-02 00:00:00+00:00,11.4572
2019-06-03 00:00:00+00:00,11.7821
2019-06-04 00:00:00+00:00,11.4827
2019-06-05 00:00:00+00:00,11.6030
2019-06-06 00:00:00+00:00,11.9107
2019-06-07 00:00:00+00:00,12.1450
2019-06-08 00:00:00+00:00,12.1439
2019-06-09 00:00:00+00:00,12.2425
2019-06-10 00:00:00+00:00,12.3777
2019-06-11 00:00:00+00:00,12.3043
2019-06-12 00:00:00+00:00,12.3033
2019-06-13 00:00:00+00:00,12.3021
2019-06-14 00:00:00+00:00,12.2985
2019-06-15 00:00:00+00:00,12.3878
2019-06-16 00:00:00+00:00,12.3261
2019-06-17 00:00:00+00:00,12.3413
2019-06-18 00:00:00+00:00,12.5436
2019-06-19 00:00:00+00:00,12.5351
2019-06-20 00:00:00+00:00,12.5992
2019-06-21 00:00:00+00:00,12.8686
2019-06-22 00:00:00+00:00,12.9809
2019-06-23 00:00:00+00:00,12.9798
2019-06-24 00:00:00+00:00,12.9335
2019-06-25 00:00:00+00:00,12.9983
2019-06-26 00:00:00+00:00,13.1517
2019-06-27 00:00:00+00:00,13.5655
2019-06-28 00:00:00+00:00,13.8758
2019-06-29 00:00:00+00:00,13.9039
2019-06-30 00:00:00+00:00,14.1922
2019-07-01 00:00:00+00:00,14.1845
2019-07-02 00:00:00+00:00,14.2150
2019-07-03 00:00:00+00:00,14.3302
2019-07-04 00:00:00+00:00,14.3405
2019-07-05 00:00:00+00:00,14.3138
2019-07-06 00:00:00+00:00,14.4023
2019-07-07 00:00:00+00:00,14.3476
2019-07-08 00:00:00+00:00,14.2285
2019-07-09 00:00:00+00:00,14.2424
2019-07-10 00:00:00+00:00,14.3980
2019-07-11 00:00:00+00:00,14.4024
2019-07-12 00:00:00+00:00,14.5689
2019-07-13 00:00:00+00:00,14.5427
2019-07-14 00:00:00+00:00,14.9650
2019-07-15 00:00:00+00:00,15.2182
2019-07-16 00:00:00+00:00,15.0255
2019-07-17 00:00:00+00:00,15.0177
2019-07-18 00:00:00+00:00,14.9908
2019-07-19 00:00:00+00:00,15.0028
2019-07-20 00:00:00+00:00,15.0899
2019-07-21 00:00:00+00:00,15.0308
2019-07-22 00:00:00+00:00,14.9732
2019-07-23 00:00:00+00:00,15.0224
2019-07-24 00:00:00+00:00,15.4175
2019-07-25 00:00:00+00:00,15.6348
2019-07-26 00:00:00+00:00,15.6373
2019-07-27 00:00:00+00:00,15.7230
2019-07-28 00:00:00+00:00,14.2830
2019-07-29 00:00:00+00:00,11.4193
2019-07-30 00:00:00+00:00,11.0426
2019-07-31 00:00:00+00:00,10.7896
2019-08-01 00:00:00+00:00,11.9859
2019-08-02 00:00:00+00:00,13.1393
2019-08-03 00:00:00+00:00,13.0490
2019-08-04 00:00:00+00:00,12.9291
2019-08-05 00:00:00+00:00,14.0627
2019-08-06 00:00:00+00:00,15.2970
2019-08-07 00:00:00+00:00,15.0709
2019-08-08 00:00:00+00:00,15.3616
2019-08-09 00:00:00+00:00,15.3571
2019-08-10 00:00:00+00:00,15.5398
2019-08-11 00:00:00+00:00,15.7199
2019-08-12 00:00:00+00:00,15.9589
2019-08-13 00:00:00+00:00,16.1526
2019-08-14 00:00:00+00:00,16.1499
2019-08-15 00:00:00+00:00,16.2675
2019-08-16 00:00:00+00:00,16.2998
2019-08-17 00:00:00+00:00,16.4039
2019-08-18 00:00:00+00:00,16.2531
2019-08-19 00:00:00+00:00,16.1771
2019-08-20 00:00:00+00:00,16.0989
2019-08-21 00:00:00+00:00,16.0827
2019-08-22 00:00:00+00:00,16.0790
2019-08-23 00:00:00+00:00,16.0028
2019-08-24 00:00:00+00:00,16.0420
2019-08-25 00:00:00+00:00,16.2121
2019-08-26 00:00:00+00:00,16.5134
2019-08-27 00:00:00+00:00,16.6124
2019-08-28 00:00:00+00:00,16.5465
2019-08-29 00:00:00+00:00,16.5857
2019-08-30 00:00:00+00:00,16.5873
2019-08-31 00:00:00+00:00,16.5682
2019-09-01 00:00:00+00:00,16.5157
2019-09-02 00:00:00+00:00,16.5210
2019-09-03 00:00:00+00:00,16.5019
2019-09-04 00:00:00+00:00,16.4491
2019-09-05 00:00:00+00:00,16.3712
2019-09-06 00:00:00+00:00,16.2919
2019-09-07 00:00:00+00:00,16.2359
2019-09-08 00:00:00+00:00,16.2359
2019-09-09 00:00:00+00:00,16.2300
2019-09-10 00:00:00+00:00,16.1553
2019-09-11 00:00:00+00:00,16.1524
2019-09-12 00:00:00+00:00,16.0747
2019-09-13 00:00:00+00:00,16.1215
2019-09-14 00:00:00+00:00,16.1167
2019-09-15 00:00:00+00:00,15.9493
2019-09-16 00:00:00+00:00,15.9279
2019-09-17 00:00:00+00:00,16.0141
2019-09-18 00:00:00+00:00,15.9773
2019-09-19 00:00:00+00:00,15.8937
2019-09-20 00:00:00+00:00,16.0042
2019-09-21 00:00:00+00:00,16.0540
2019-09-22 00:00:00+00:00,15.0346
2019-09-23 00:00:00+00:00,15.5499
2019-09-24 00:00:00+00:00,15.6239
2019-09-25 00:00:00+00:00,15.6097
2019-09-26 00:00:00+00:00,15.8118
2019-09-27 00:00:00+00:00,15.7751
2019-09-28 00:00:00+00:00,15.7938
2019-09-29 00:00:00+00:00,15.7919
2019-09-30 00:00:00+00:00,15.8383
2019-10-01 00:00:00+00:00,15.7655
2019-10-02 00:00:00+00:00,15.7079
2019-10-03 00:00:00+00:00,15.7055
2019-10-04 00:00:00+00:00,15.6659
2019-10-05 00:00:00+00:00,15.5701
2019-10-06 00:00:00+00:00,15.4653
2019-10-07 00:00:00+00:00,15.4529
2019-10-08 00:00:00+00:00,15.4298
2019-10-09 00:00:00+00:00,15.3506
2019-10-10 00:00:00+00:00,15.2033
2019-10-11 00:00:00+00:00,15.2097
2019-10-12 00:00:00+00:00,15.1803
2019-10-13 00:00:00+00:00,15.2077
2019-10-14 00:00:00+00:00,15.1099
2019-10-15 00:00:00+00:00,15.0459
2019-10-16 00:00:00+00:00,15.0306
2019-10-17 00:00:00+00:00,14.9255
2019-10-18 00:00:00+00:00,14.8625
2019-10-19 00:00:00+00:00,14.7156
2019-10-20 00:00:00+00:00,14.6038
2019-10-21 00:00:00+00:00,14.5410
2019-10-22 00:00:00+00:00,14.5931
2019-10-23 00:00:00+00:00,14.5825
2019-10-24 00:00:00+00:00,14.5600
2019-10-25 00:00:00+00:00,14.4100
2019-10-26 00:00:00+00:00,14.4080
2019-10-27 00:00:00+00:00,14.3661
2019-10-28 00:00:00+00:00,14.3245
2019-10-29 00:00:00+00:00,14.2393
2019-10-30 00:00:00+00:00,14.1407
2019-10-31 00:00:00+00:00,14.1302
2019-11-01 00:00:00+00:00,14.1287
2019-11-02 00:00:00+00:00,14.0573
2019-11-03 00:00:00+00:00,14.0123
2019-11-04 00:00:00+00:00,13.8699
2019-11-05 00:00:00+00:00,13.8363
2019-11-06 00:00:00+00:00,13.8094
2019-11-07 00:00:00+00:00,13.7481
2019-11-08 00:00:00+00:00,13.6424
2019-11-09 00:00:00+00:00,13.4463
2019-11-10 00:00:00+00:00,13.3874
2019-11-11 00:00:00+00:00,13.2782
2019-11-12 00:00:00+00:00,13.0934
2019-11-13 00:00:00+00:00,12.8931
2019-11-14 00:00:00+00:00,12.8826
2019-11-15 00:00:00+00:00,12.8821
2019-11-16 00:00:00+00:00,12.8417
2019-11-17 00:00:00+00:00,12.8437
2019-11-18 00:00:00+00:00,12.5725
2019-11-19 00:00:00+00:00,12.4146
2019-11-20 00:00:00+00:00,12.4088
2019-11-21 00:00:00+00:00,12.4039
2019-11-22 00:00:00+00:00,12.3729
2019-11-23 00:00:00+00:00,12.3712
2019-11-24 00:00:00+00:00,12.2983
2019-11-25 00:00:00+00:00,12.2967
2019-11-26 00:00:00+00:00,12.2813
2019-11-27 00:00:00+00:00,12.2086
2019-11-28 00:00:00+00:00,12.0971
2019-11-29 00:00:00+00:00,12.0280
2019-11-30 00:00:00+00:00,11.7893
2019-12-01 00:00:00+00:00,11.5166
2019-12-02 00:00:00+00:00,11.3656
2019-12-03 00:00:00+00:00,11.2260
2019-12-04 00:00:00+00:00,11.3099
2019-12-05 00:00:00+00:00,11.2598
2019-12-06 00:00:00+00:00,11.2580
2019-12-07 00:00:00+00:00,11.1437
2019-12-08 00:00:00+00:00,11.1551
2019-12-09 00:00:00+00:00,11.0780
2019-12-10 00:00:00+00:00,10.9629
2019-12-11 00:00:00+00:00,10.8429
2019-12-12 00:00:00+00:00,10.8053
2019-12-13 00:00:00+00:00,10.7642
2019-12-14 00:00:00+00:00,10.6772
2019-12-15 00:00:00+00:00,10.6344
2019-12-16 00:00:00+00:00,10.4938
2019-12-17 00:00:00+00:00,10.3573
2019-12-18 00:00:00+00:00,10.2946
2019-12-19 00:00:00+00:00,10.2773
2019-12-20 00:00:00+00:00,10.2755
2019-12-21 00:00:00+00:00,10.1898
2019-12-22 00:00:00+00:00,10.1419
2019-12-23 00:00:00+00:00,10.0007
2019-12-24 00:00:00+00:00,10.0037
2019-12-25 00:00:00+00:00,9.8841
2019-12-26 00:00:00+00:00,9.8866
2019-12-27 00:00:00+00:00,9.8789
2019-12-28 00:00:00+00:00,9.8765
2019-12-29 00:00:00+00:00,9.8756
2019-12-30 00:00:00+00:00,9.9236
2019-12-31 00:00:00+00:00,9.9257
2020-01-01 00:00:00+00:00,9.9064
2020-01-02 00:00:00+00:00,9.8876
2020-01-03 00:00:00+00:00,9.8144
2020-01-04 00:00:00+00:00,9.7472
2020-01-05 00:00:00+00:00,9.7466
2020-01-06 00:00:00+00:00,9.7369
2020-01-07 00:00:00+00:00,9.7311
2020-01-08 00:00:00+00:00,9.7125
2020-01-09 00:00:00+00:00,9.7051
2020-01-10 00:00:00+00:00,9.6274
2020-01-11 00:00:00+00:00,9.6189
2020-01-12 00:00:00+00:00,9.5499
2020-01-13 00:00:00+00:00,9.5360
2020-01-14 00:00:00+00:00,9.5114
2020-01-15 00:00:00+00:00,9.4981
2020-01-16 00:00:00+00:00,9.4225
2020-01-17 00:00:00+00:00,9.3908
2020-01-18 00:00:00+00:00,9.2535
2020-01-19 00:00:00+00:00,9.1575
2020-01-20 00:00:00+00:00,9.0622
2020-01-21 00:00:00+00:00,9.0286
2020-01-22 00:00:00+00:00,8.9852
2020-01-23 00:00:00+00:00,8.9537
2020-01-24 00:00:00+00:00,8.9557
2020-01-25 00:00:00+00:00,8.9605
2020-01-26 00:00:00+00:00,9.0026
2020-01-27 00:00:00+00:00,9.0437
2020-01-28 00:00:00+00:00,8.9700
2020-01-29 00:00:00+00:00,8.8665
2020-01-30 00:00:00+00:00,8.8757
2020-01-31 00:00:00+00:00,8.8445
2020-02-01 00:00:00+00:00,8.8757
2020-02-02 00:00:00+00:00,8.8354
2020-02-03 00:00:00+00:00,8.7605
2020-02-04 00:00:00+00:00,8.7392
2020-02-05 00:00:00+00:00,8.7498
2020-02-06 00:00:00+00:00,8.6644
2020-02-07 00:00:00+00:00,8.7037
2020-02-08 00:00:00+00:00,8.7119
2020-02-09 00:00:00+00:00,8.7122
2020-02-10 00:00:00+00:00,8.7183
2020-02-11 00:00:00+00:00,8.6566
2020-02-12 00:00:00+00:00,8.5187
2020-02-13 00:00:00+00:00,8.5015
2020-02-14 00:00:00+00:00,8.3861
2020-02-15 00:00:00+00:00,8.4844
2020-02-16 00:00:00+00:00,8.4814
2020-02-17 00:00:00+00:00,8.3780
2020-02-18 00:00:00+00:00,8.3980
2020-02-19 00:00:00+00:00,8.3539
