period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
1992-08 to 1993-07,1992-08-01,1993-07-31,1993,8.826027,365,published-inputs,61,9.083036,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1993-08 to 1994-07,1993-08-01,1994-07-31,1994,8.407123,365,published-inputs,104,9.125476,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1994-08 to 1995-07,1994-08-01,1995-07-31,1995,9.627671,365,published-inputs,17,9.166928,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1995-08 to 1996-07,1995-08-01,1996-07-31,1996,8.823770,366,published-inputs,62,9.206866,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1996-08 to 1997-07,1996-08-01,1997-07-31,1997,9.101370,365,published-inputs,43,9.244792,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1997-08 to 1998-07,1997-08-01,1998-07-31,1998,9.904384,365,published-inputs,9,9.280244,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1998-08 to 1999-07,1998-08-01,1999-07-31,1999,9.606849,365,published-inputs,19,9.312827,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1999-08 to 2000-07,1999-08-01,2000-07-31,2000,9.469126,366,published-inputs,25,9.342232,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2000-08 to 2001-07,2000-08-01,2001-07-31,2001,9.006027,365,published-inputs,48,9.368276,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
2001-08 to 2002-07,2001-08-01,2002-07-31,2002,9.604658,365,published-inputs,20,9.390924,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
