year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1928,266.800000,156.000000,108.100000,49.300000,29.800000,161.500000,83.500000,142.500000,51.600000,224.300000,238.100000,136.300000,501.800000,187.200000,387.500000,514.000000,1647.800000
1929,58.500000,40.000000,26.600000,30.100000,99.500000,80.700000,94.800000,114.700000,53.500000,204.200000,333.800000,301.900000,234.900000,156.100000,290.200000,591.500000,1438.300000
1930,228.700000,18.900000,94.900000,95.000000,66.100000,54.400000,133.800000,153.600000,152.100000,209.900000,175.300000,189.500000,549.400000,256.000000,341.800000,537.200000,1572.100000
1931,134.900000,136.300000,33.100000,110.700000,124.800000,128.900000,125.800000,146.100000,91.400000,60.400000,267.500000,89.100000,460.800000,268.600000,400.800000,419.300000,1449.000000
1932,202.000000,3.300000,87.200000,123.200000,136.200000,49.600000,142.900000,48.900000,132.800000,234.900000,110.500000,101.900000,294.500000,346.700000,241.400000,478.200000,1373.400000
1933,128.800000,130.000000,97.900000,41.100000,54.000000,86.000000,86.500000,47.000000,46.300000,185.100000,43.400000,47.100000,360.700000,193.000000,219.400000,274.800000,993.200000
1934,146.500000,14.500000,102.400000,92.300000,82.400000,54.100000,38.400000,134.400000,114.400000,160.000000,63.700000,283.200000,208.100000,277.100000,226.900000,338.100000,1286.300000
1935,55.900000,167.400000,38.500000,142.300000,45.300000,144.200000,30.800000,60.800000,212.200000,204.200000,196.200000,110.100000,506.500000,226.100000,235.800000,612.600000,1407.900000
1936,177.200000,78.500000,94.900000,74.800000,48.700000,127.200000,189.300000,44.500000,120.100000,90.100000,159.100000,187.600000,365.900000,218.400000,361.000000,369.400000,1392.100000
1937,183.300000,208.000000,92.000000,100.800000,53.200000,57.900000,83.800000,41.000000,84.900000,112.000000,62.900000,109.200000,578.900000,245.900000,182.700000,259.900000,1189.000000
1938,197.600000,63.900000,41.000000,9.400000,95.600000,120.900000,138.600000,111.500000,64.200000,216.500000,210.900000,143.600000,370.700000,146.000000,371.000000,491.700000,1413.700000
1939,213.900000,131.200000,83.400000,88.700000,30.300000,82.500000,246.700000,89.800000,31.300000,88.400000,267.000000,102.300000,488.700000,202.500000,419.000000,386.800000,1455.600000
1940,101.600000,118.500000,103.300000,86.800000,57.000000,28.400000,125.900000,23.600000,84.800000,172.600000,279.900000,115.600000,322.400000,247.100000,177.900000,537.300000,1298.000000
1941,101.400000,135.100000,101.900000,46.300000,85.000000,35.300000,79.500000,156.400000,32.200000,139.700000,101.700000,109.300000,352.100000,233.100000,271.200000,273.600000,1123.700000
